Vnorm;Vph;Gnorm;Gph
0;167;-18;-38
21;191;16;-8
60;182;11;-29
16;171;47;-36
16;200;63;-80
-1;305;66;-89
17;226;88;-124
32;594;159;-142
22;647;185;-162
74;155;181;-78
19;-196;191;-133
0;-210;178;3
42;97;173;-73
33;131;108;174
37;211;43;729
16;206;18;130
23;164;-65;-182
66;226;-100;-116
0;234;-93;-233
73;260;-108;-169
34;279;-109;-219
30;295;-89;-152
42;298;-109;-183
41;372;-105;-150
88;406;-82;-149
28;461;-63;-78
48;533;-52;-100
48;454;-86;-58
11;457;-67;-53
2;425;-70;-29
26;359;-87;-29
132;332;-52;3
44;324;-68;-1
87;277;-99;33
100;242;-73;23
-4;199;-71;54
13;247;-86;23
15;246;-64;15
4;201;-81;-3
-10;331;-79;-10
-5;236;-66;-33
32;203;-69;-48
9;268;-53;-47
87;286;-46;-81
-27;294;-80;-59
227;201;-61;-84
611;250;-73;-105
146;274;-65;-59
-80;191;-56;-99
-119;225;-52;-62
-73;223;-49;-76
24;199;-41;-47
47;195;-20;-40
109;196;31;-50
99;223;61;-31
109;198;74;-39
156;198;21;-58
130;202;-63;-48
148;162;-61;-65
134;185;-85;-66
142;206;-118;-82
166;201;-94;-88
169;197;-102;-92
162;208;-93;-92
199;183;-111;-89
197;172;-53;-90
204;148;-7;-88
228;141;488;-71
261;198;1042;-73
267;167;329;-71
226;172;-260;-78
232;184;-165;-61
213;176;-148;-56
171;139;-95;-45
168;134;-98;-30
149;144;-90;-8
117;154;-90;-8
95;173;-55;-12
139;150;-79;-47
117;245;-51;-43
91;233;2;-87
155;201;-23;-97
92;238;-12;-118
138;183;23;-110
129;104;26;-92
99;71;100;-13
171;162;84;-23
166;101;137;107
152;135;145;178
121;137;149;83
119;41;164;-36
123;190;135;-162
109;193;140;-154
150;391;116;-179
162;476;40;-245
142;70;-16;-218
105;-111;-47;-248
138;-182;-49;-219
182;-121;-99;-230
126;84;-100;-209
114;76;-112;-199
142;59;-95;-167
113;134;-69;-156
124;109;-58;-129
144;132;-58;-124
208;157;-65;-88
178;149;-74;-86
133;173;-64;-29
160;161;-70;-48
207;208;-51;-13
184;261;-31;-33
135;227;-81;-20
180;300;-73;-68
183;298;-60;-70
182;238;-96;-129
192;264;-85;-167
161;188;-90;-191
169;139;-69;-196
216;125;-72;-219
177;82;-105;-193
186;49;-88;-229
212;-12;-121;-194
194;-10;-101;-207
253;58;-83;-177
254;10;-95;-185
212;-7;-95;-134
233;45;-88;-166
148;-9;-107;-132
153;-6;-90;-162
152;87;-79;-139
140;-52;-38;-168
164;-40;31;-131
145;6;18;-179
137;-84;39;-132
137;7;-28;-198
213;-46;-83;-149
175;-125;-64;-174
449;-91;-102;-175
627;-66;-102;-172
151;-78;-95;-142
-159;-96;-112;-158
-84;-135;-98;-127
118;-130;-149;-147
111;-42;-85;-117
144;-152;50;-137
153;-143;581;-124
130;-102;1053;-122
196;-152;334;-126
152;-141;-248;-124
108;-126;-225;-126
147;-151;-161;-117
111;-160;-78;-129
173;-92;-93;-100
176;-142;-50;-95
134;-167;-93;-90
181;-153;-39;-42
190;-88;-17;-64
210;-36;-57;-40
242;-74;-27;-76
203;-86;-2;-89
230;-66;5;-100
262;-140;17;-131
183;-244;68;-145
205;-199;69;-127
182;-137;114;-134
95;-199;129;-47
80;-274;130;-55
37;-254;160;84
52;-93;141;54
12;-214;128;80
2;-58;122;220
23;291;81;4
22;-149;29;-77
31;-468;-19;-159
-1;-537;-72;-201
21;-425;-82;-171
13;-356;-92;-215
-35;-295;-109;-162
50;-189;-108;-176
22;-243;-93;-121
-39;-224;-101;-123
-7;-205;-87;-95
-56;-181;-70;-87
-20;-213;-73;-55
-24;-144;-62;-58
-120;-84;-68;-31
-111;-105;-63;-24
-105;-40;-49;12
-89;-44;-65;1
-106;13;-82;38
-143;24;-74;14
-119;-25;-69;39
-111;16;-81;-7
-119;-66;-71;0
-120;-112;-51;-41
-160;-105;-83;-58
-137;-180;-71;-97
-130;-219;-80;-100
-160;-249;-86;-117
-152;-217;-45;-115
-153;-203;-60;-125
-160;-228;-62;-104
-148;-239;-47;-113
-150;-223;-58;-73
-151;-192;-55;-86
-188;-197;-74;-68
-173;-189;-47;-66
-181;-178;24;-46
-168;-197;41;-52
-179;-166;81;-40
-202;-221;72;-51
-158;-268;-4;-39
-171;-207;-31;-61
